<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.01.02	23:30:00	1.06669	1.06680	1.06610	1.06652	166	0	9
2023.01.02	23:45:00	1.06659	1.06685	1.06580	1.06665	147	0	15
2023.01.03	00:00:00	1.06642	1.06650	1.06631	1.06644	49	0	11
2023.01.03	00:15:00	1.06643	1.06651	1.06643	1.06646	42	0	27
2023.01.03	00:30:00	1.06646	1.06651	1.06632	1.06635	60	0	27
2023.01.03	00:45:00	1.06634	1.06652	1.06628	1.06648	62	0	35
2023.01.03	01:00:00	1.06655	1.06830	1.06625	1.06630	668	0	2
2023.01.03	01:15:00	1.06632	1.06662	1.06493	1.06636	1073	0	2
2023.01.03	01:30:00	1.06636	1.06738	1.06632	1.06705	750	0	2
2023.01.03	01:45:00	1.06702	1.06773	1.06684	1.06762	581	0	2
2023.01.03	02:00:00	1.06762	1.06781	1.06717	1.06757	805	0	1
2023.01.03	02:15:00	1.06758	1.06758	1.06665	1.06687	748	0	1
2023.01.03	02:30:00	1.06684	1.06749	1.06679	1.06735	561	0	1
2023.01.03	02:45:00	1.06733	1.06746	1.06700	1.06706	413	0	1
2023.01.03	03:00:00	1.06705	1.06709	1.06592	1.06687	1310	0	1
2023.01.03	03:15:00	1.06687	1.06742	1.06547	1.06561	1178	0	0
2023.01.03	03:30:00	1.06561	1.06598	1.06508	1.06522	1448	0	1
2023.01.03	03:45:00	1.06522	1.06597	1.06503	1.06597	927	0	1
2023.01.03	04:00:00	1.06596	1.06631	1.06575	1.06614	763	0	1
2023.01.03	04:15:00	1.06611	1.06675	1.06595	1.06664	838	0	1
2023.01.03	04:30:00	1.06661	1.06732	1.06657	1.06731	1167	0	1
2023.01.03	04:45:00	1.06736	1.06778	1.06717	1.06766	1061	0	1
2023.01.03	05:00:00	1.06765	1.06784	1.06725	1.06726	930	0	1
2023.01.03	05:15:00	1.06728	1.06757	1.06687	1.06719	854	0	1
2023.01.03	05:30:00	1.06720	1.06759	1.06715	1.06752	568	0	0
2023.01.03	05:45:00	1.06752	1.06762	1.06707	1.06724	507	0	1
2023.01.03	06:00:00	1.06724	1.06791	1.06704	1.06776	566	0	0
2023.01.03	06:15:00	1.06779	1.06801	1.06752	1.06782	425	0	1
2023.01.03	06:30:00	1.06785	1.06802	1.06768	1.06774	491	0	1
2023.01.03	06:45:00	1.06779	1.06781	1.06668	1.06670	546	0	1
2023.01.03	07:00:00	1.06670	1.06709	1.06668	1.06679	543	0	0
2023.01.03	07:15:00	1.06678	1.06698	1.06597	1.06632	940	0	0
2023.01.03	07:30:00	1.06631	1.06651	1.06588	1.06649	910	0	0
2023.01.03	07:45:00	1.06648	1.06659	1.06607	1.06637	934	0	0
2023.01.03	08:00:00	1.06637	1.06677	1.06624	1.06676	1032	0	0
2023.01.03	08:15:00	1.06674	1.06676	1.06603	1.06626	863	0	0
2023.01.03	08:30:00	1.06626	1.06628	1.06540	1.06561	1322	0	0
2023.01.03	08:45:00	1.06561	1.06584	1.06516	1.06522	999	0	0
2023.01.03	09:00:00	1.06523	1.06573	1.06501	1.06519	1412	0	0
2023.01.03	09:15:00	1.06522	1.06573	1.06517	1.06570	1497	0	0
2023.01.03	09:30:00	1.06570	1.06588	1.06539	1.06540	1356	0	0
2023.01.03	09:45:00	1.06542	1.06554	1.06198	1.06234	2724	0	0
2023.01.03	10:00:00	1.06234	1.06284	1.05861	1.05878	3931	0	0
2023.01.03	10:15:00	1.05878	1.05896	1.05694	1.05762	3560	0	0
2023.01.03	10:30:00	1.05759	1.05798	1.05571	1.05683	3189	0	0
2023.01.03	10:45:00	1.05683	1.05713	1.05505	1.05520	2348	0	0
2023.01.03	11:00:00	1.05520	1.05543	1.05339	1.05441	3064	0	0
2023.01.03	11:15:00	1.05441	1.05485	1.05384	1.05481	2376	0	0
2023.01.03	11:30:00	1.05482	1.05611	1.05478	1.05543	2365	0	0
2023.01.03	11:45:00	1.05543	1.05582	1.05434	1.05476	2091	0	0
2023.01.03	12:00:00	1.05479	1.05551	1.05443	1.05502	1769	0	0
2023.01.03	12:15:00	1.05502	1.05519	1.05350	1.05377	2001	0	0
2023.01.03	12:30:00	1.05377	1.05458	1.05334	1.05371	1761	0	0
2023.01.03	12:45:00	1.05372	1.05425	1.05252	1.05311	1652	0	0
2023.01.03	13:00:00	1.05312	1.05330	1.05252	1.05276	1373	0	0
2023.01.03	13:15:00	1.05276	1.05296	1.05196	1.05266	1724	0	0
2023.01.03	13:30:00	1.05265	1.05360	1.05254	1.05320	1446	0	0
2023.01.03	13:45:00	1.05319	1.05354	1.05267	1.05285	1579	0	0
2023.01.03	14:00:00	1.05284	1.05335	1.05240	1.05331	1741	0	0
2023.01.03	14:15:00	1.05330	1.05402	1.05309	1.05399	1503	0	0
2023.01.03	14:30:00	1.05400	1.05492	1.05390	1.05467	1284	0	0
2023.01.03	14:45:00	1.05467	1.05469	1.05348	1.05357	1686	0	0
2023.01.03	15:00:00	1.05356	1.05460	1.05305	1.05450	2372	0	0
2023.01.03	15:15:00	1.05448	1.05598	1.05430	1.05556	2131	0	0
2023.01.03	15:30:00	1.05557	1.05676	1.05539	1.05668	2228	0	0
2023.01.03	15:45:00	1.05668	1.05700	1.05571	1.05604	1792	0	0
2023.01.03	16:00:00	1.05604	1.05746	1.05554	1.05743	1799	0	0
2023.01.03	16:15:00	1.05744	1.05744	1.05612	1.05715	1744	0	0
2023.01.03	16:30:00	1.05717	1.05974	1.05670	1.05907	3109	0	0
2023.01.03	16:45:00	1.05909	1.05909	1.05739	1.05743	3573	0	0
2023.01.03	17:00:00	1.05747	1.05789	1.05648	1.05704	3314	0	0
2023.01.03	17:15:00	1.05707	1.05822	1.05661	1.05689	2840	0	0
2023.01.03	17:30:00	1.05689	1.05728	1.05625	1.05651	2680	0	0
2023.01.03	17:45:00	1.05651	1.05722	1.05543	1.05555	3136	0	0
2023.01.03	18:00:00	1.05554	1.05566	1.05372	1.05443	2746	0	0
2023.01.03	18:15:00	1.05442	1.05552	1.05402	1.05552	2143	0	0
2023.01.03	18:30:00	1.05551	1.05554	1.05400	1.05448	2416	0	0
2023.01.03	18:45:00	1.05448	1.05590	1.05401	1.05581	2053	0	0
2023.01.03	19:00:00	1.05582	1.05593	1.05540	1.05564	1727	0	0
2023.01.03	19:15:00	1.05566	1.05587	1.05502	1.05523	1406	0	0
2023.01.03	19:30:00	1.05523	1.05540	1.05455	1.05484	1258	0	0
2023.01.03	19:45:00	1.05484	1.05493	1.05403	1.05461	1278	0	0
2023.01.03	20:00:00	1.05463	1.05494	1.05434	1.05474	1131	0	0
2023.01.03	20:15:00	1.05474	1.05568	1.05433	1.05563	1203	0	0
2023.01.03	20:30:00	1.05563	1.05609	1.05535	1.05603	1122	0	0
2023.01.03	20:45:00	1.05601	1.05605	1.05547	1.05567	931	0	0
2023.01.03	21:00:00	1.05567	1.05593	1.05552	1.05590	1188	0	0
2023.01.03	21:15:00	1.05592	1.05620	1.05568	1.05616	1071	0	0
2023.01.03	21:30:00	1.05616	1.05636	1.05586	1.05627	1045	0	0
2023.01.03	21:45:00	1.05631	1.05686	1.05629	1.05665	2096	0	0
2023.01.03	22:00:00	1.05668	1.05675	1.05605	1.05669	1828	0	0
2023.01.03	22:15:00	1.05669	1.05689	1.05563	1.05614	1404	0	0
2023.01.03	22:30:00	1.05614	1.05641	1.05549	1.05550	1010	0	0
2023.01.03	22:45:00	1.05550	1.05576	1.05505	1.05516	1176	0	0
2023.01.03	23:00:00	1.05517	1.05535	1.05494	1.05525	468	0	0
2023.01.03	23:15:00	1.05525	1.05540	1.05474	1.05498	498	0	2
2023.01.03	23:30:00	1.05498	1.05513	1.05463	1.05479	333	0	2
2023.01.03	23:45:00	1.05479	1.05498	1.05459	1.05470	586	0	2
2023.01.04	00:00:00	1.05465	1.05465	1.05445	1.05460	49	0	29
2023.01.04	00:15:00	1.05455	1.05469	1.05430	1.05460	64	0	30
2023.01.04	00:30:00	1.05460	1.05471	1.05428	1.05465	2970	0	28
2023.01.04	00:45:00	1.05459	1.05470	1.05441	1.05462	620	0	26
2023.01.04	01:00:00	1.05462	1.05539	1.05451	1.05504	1056	0	8
2023.01.04	01:15:00	1.05504	1.05512	1.05402	1.05444	1008	0	8
2023.01.04	01:30:00	1.05439	1.05471	1.05420	1.05427	809	0	2
2023.01.04	01:45:00	1.05427	1.05477	1.05416	1.05455	511	0	2
2023.01.04	02:00:00	1.05455	1.05566	1.05453	1.05552	949	0	1
2023.01.04	02:15:00	1.05556	1.05574	1.05541	1.05559	449	0	1
2023.01.04	02:30:00	1.05559	1.05597	1.05556	1.05586	457	0	1
2023.01.04	02:45:00	1.05586	1.05612	1.05566	1.05579	519	0	1
2023.01.04	03:00:00	1.05583	1.05637	1.05569	1.05600	749	0	0
2023.01.04	03:15:00	1.05601	1.05656	1.05601	1.05616	626	0	1
2023.01.04	03:30:00	1.05616	1.05689	1.05605	1.05650	646	0	0
2023.01.04	03:45:00	1.05653	1.05691	1.05631	1.05667	950	0	1
2023.01.04	04:00:00	1.05667	1.05692	1.05655	1.05681	686	0	1
2023.01.04	04:15:00	1.05678	1.05687	1.05640	1.05674	568	0	1
2023.01.04	04:30:00	1.05674	1.05694	1.05630	1.05646	462	0	1
2023.01.04	04:45:00	1.05646	1.05660	1.05612	1.05646	526	0	0
2023.01.04	05:00:00	1.05650	1.05687	1.05646	1.05681	505	0	0
2023.01.04	05:15:00	1.05681	1.05691	1.05664	1.05678	337	0	1
2023.01.04	05:30:00	1.05675	1.05687	1.05667	1.05677	324	0	1
2023.01.04	05:45:00	1.05674	1.05698	1.05667	1.05686	453	0	1
2023.01.04	06:00:00	1.05687	1.05698	1.05670	1.05674	342	0	0
2023.01.04	06:15:00	1.05674	1.05684	1.05656	1.05670	486	0	0
2023.01.04	06:30:00	1.05669	1.05684	1.05659	1.05684	352	0	1
2023.01.04	06:45:00	1.05687	1.05743	1.05663	1.05729	790	0	0
2023.01.04	07:00:00	1.05725	1.05784	1.05692	1.05703	1089	0	0
2023.01.04	07:15:00	1.05704	1.05721	1.05663	1.05682	655	0	0
2023.01.04	07:30:00	1.05685	1.05690	1.05647	1.05682	708	0	0
2023.01.04	07:45:00	1.05685	1.05712	1.05664	1.05693	580	0	0
2023.01.04	08:00:00	1.05693	1.05735	1.05665	1.05726	672	0	0
2023.01.04	08:15:00	1.05727	1.05750	1.05704	1.05734	460	0	0
2023.01.04	08:30:00	1.05731	1.05731	1.05594	1.05651	610	0	0
2023.01.04	08:45:00	1.05651	1.05733	1.05646	1.05701	835	0	0
2023.01.04	09:00:00	1.05692	1.05811	1.05670	1.05774	1762	0	0
2023.01.04	09:15:00	1.05774	1.05862	1.05746	1.05849	1357	0	0
2023.01.04	09:30:00	1.05849	1.06058	1.05846	1.06044	1976	0	0
2023.01.04	09:45:00	1.06046	1.06051	1.05882	1.05937	2751	0	0
2023.01.04	10:00:00	1.05936	1.06278	1.05903	1.06263	3366	0	0
2023.01.04	10:15:00	1.06261	1.06309	1.06147	1.06216	3319	0	0
2023.01.04	10:30:00	1.06216	1.06354	1.06095	1.06100	2952	0	0
2023.01.04	10:45:00	1.06099	1.06247	1.06078	1.06160	2458	0	0
2023.01.04	11:00:00	1.06155	1.06173	1.06056	1.06103	2392	0	0
2023.01.04	11:15:00	1.06102	1.06262	1.06101	1.06254	1746	0	0
2023.01.04	11:30:00	1.06255	1.06301	1.06143	1.06149	1872	0	0
2023.01.04	11:45:00	1.06148	1.06221	1.06108	1.06109	1599	0	0
2023.01.04	12:00:00	1.06109	1.06163	1.06085	1.06154	1307	0	0
2023.01.04	12:15:00	1.06153	1.06198	1.06109	1.06149	1388	0	0
2023.01.04	12:30:00	1.06149	1.06205	1.06149	1.06172	1381	0	0
2023.01.04	12:45:00	1.06173	1.06229	1.06161	1.06207	1486	0	0
2023.01.04	13:00:00	1.06207	1.06244	1.06171	1.06229	1345	0	0
2023.01.04	13:15:00	1.06229	1.06233	1.06102	1.06113	1056	0	0
2023.01.04	13:30:00	1.06113	1.06117	1.06051	1.06053	1314	0	0
2023.01.04	13:45:00	1.06051	1.06087	1.06023	1.06045	1227	0	0
2023.01.04	14:00:00	1.06045	1.06104	1.06007	1.06090	1394	0	0
2023.01.04	14:15:00	1.06091	1.06112	1.06027	1.06035	1404	0	0
2023.01.04	14:30:00	1.06034	1.06098	1.05998	1.06070	1549	0	0
2023.01.04	14:45:00	1.06071	1.06101	1.05987	1.06071	1469	0	0
2023.01.04	15:00:00	1.06075	1.06101	1.05978	1.05978	1877	0	0
2023.01.04	15:15:00	1.05977	1.06144	1.05949	1.06136	2120	0	0
2023.01.04	15:30:00	1.06136	1.06197	1.06119	1.06143	1939	0	0
2023.01.04	15:45:00	1.06143	1.06173	1.06084	1.06105	1992	0	0
2023.01.04	16:00:00	1.06106	1.06150	1.06023	1.06149	2314	0	0
2023.01.04	16:15:00	1.06149	1.06187	1.06119	1.06124	2092	0	0
2023.01.04	16:30:00	1.06122	1.06194	1.06083	1.06109	2943	0	0
2023.01.04	16:45:00	1.06108	1.06286	1.06052	1.06243	2632	0	0
2023.01.04	17:00:00	1.06239	1.06251	1.05823	1.05889	5120	0	0
2023.01.04	17:15:00	1.05888	1.05987	1.05812	1.05984	3830	0	0
2023.01.04	17:30:00	1.05984	1.05997	1.05850	1.05959	3388	0	0
2023.01.04	17:45:00	1.05958	1.06080	1.05949	1.06034	3408	0	0
2023.01.04	18:00:00	1.06034	1.06074	1.05928	1.06010	2584	0	0
2023.01.04	18:15:00	1.06013	1.06109	1.05976	1.06079	2336	0	0
2023.01.04	18:30:00	1.06079	1.06146	1.06041	1.06134	2320	0	0
2023.01.04	18:45:00	1.06134	1.06208	1.06123	1.06191	2084	0	0
2023.01.04	19:00:00	1.06194	1.06201	1.06149	1.06153	1540	0	0
2023.01.04	19:15:00	1.06153	1.06160	1.06076	1.06096	1350	0	0
2023.01.04	19:30:00	1.06096	1.06177	1.06083	1.06171	1153	0	0
2023.01.04	19:45:00	1.06171	1.06172	1.06048	1.06074	1538	0	0
2023.01.04	20:00:00	1.06074	1.06129	1.06059	1.06076	1417	0	0
2023.01.04	20:15:00	1.06076	1.06108	1.05991	1.05996	1002	0	0
2023.01.04	20:30:00	1.05996	1.06007	1.05956	1.05972	912	0	0
2023.01.04	20:45:00	1.05972	1.06052	1.05962	1.05991	1306	0	0
2023.01.04	21:00:00	1.05992	1.06036	1.05851	1.05987	4416	0	0
2023.01.04	21:15:00	1.05987	1.06068	1.05963	1.05979	2920	0	0
2023.01.04	21:30:00	1.05979	1.06052	1.05967	1.06003	2311	0	0
2023.01.04	21:45:00	1.06003	1.06068	1.05996	1.06056	1937	0	0
2023.01.04	22:00:00	1.06056	1.06066	1.06015	1.06042	1933	0	0
2023.01.04	22:15:00	1.06039	1.06103	1.06017	1.06052	1664	0	0
2023.01.04	22:30:00	1.06051	1.06077	1.06031	1.06036	1663	0	0
2023.01.04	22:45:00	1.06037	1.06087	1.06012	1.06035	1247	0	0
2023.01.04	23:00:00	1.06039	1.06067	1.06010	1.06059	536	0	0
2023.01.04	23:15:00	1.06059	1.06082	1.06058	1.06063	268	0	2
2023.01.04	23:30:00	1.06059	1.06077	1.06048	1.06048	303	0	2
2023.01.04	23:45:00	1.06048	1.06052	1.06017	1.06030	514	0	2
2023.01.05	00:00:00	1.06015	1.06047	1.05984	1.05990	49	0	9
2023.01.05	00:15:00	1.05990	1.06022	1.05973	1.06005	49	0	14
2023.01.05	00:30:00	1.06091	1.06091	1.06002	1.06037	566	0	20
2023.01.05	00:45:00	1.06027	1.06064	1.06022	1.06050	362	0	28
2023.01.05	01:00:00	1.06065	1.06082	1.06017	1.06045	541	0	2
2023.01.05	01:15:00	1.06047	1.06066	1.06030	1.06049	691	0	8
2023.01.05	01:30:00	1.06050	1.06112	1.06045	1.06102	372	0	2
2023.01.05	01:45:00	1.06102	1.06110	1.06061	1.06061	173	0	0
2023.01.05	02:00:00	1.06056	1.06124	1.06030	1.06111	599	0	1
2023.01.05	02:15:00	1.06112	1.06261	1.06108	1.06261	827	0	0
2023.01.05	02:30:00	1.06265	1.06277	1.06175	1.06244	879	0	1
2023.01.05	02:45:00	1.06241	1.06311	1.06231	1.06289	1022	0	1
2023.01.05	03:00:00	1.06289	1.06315	1.06260	1.06284	1037	0	1
2023.01.05	03:15:00	1.06287	1.06292	1.06229	1.06233	833	0	1
2023.01.05	03:30:00	1.06230	1.06245	1.06184	1.06190	861	0	1
2023.01.05	03:45:00	1.06190	1.06239	1.06185	1.06204	700	0	1
2023.01.05	04:00:00	1.06202	1.06202	1.06104	1.06138	1061	0	1
2023.01.05	04:15:00	1.06136	1.06194	1.06092	1.06100	642	0	1
2023.01.05	04:30:00	1.06100	1.06162	1.06088	1.06152	761	0	1
2023.01.05	04:45:00	1.06152	1.06197	1.06135	1.06174	846	0	1
2023.01.05	05:00:00	1.06174	1.06193	1.06154	1.06184	738	0	1
2023.01.05	05:15:00	1.06184	1.06196	1.06114	1.06119	713	0	1
2023.01.05	05:30:00	1.06122	1.06142	1.06117	1.06120	593	0	1
2023.01.05	05:45:00	1.06121	1.06125	1.06061	1.06069	440	0	1
2023.01.05	06:00:00	1.06068	1.06114	1.06060	1.06060	539	0	1
2023.01.05	06:15:00	1.06060	1.06095	1.06058	1.06075	651	0	0
2023.01.05	06:30:00	1.06074	1.06104	1.06074	1.06084	527	0	1
2023.01.05	06:45:00	1.06084	1.06084	1.06036	1.06043	479	0	0
2023.01.05	07:00:00	1.06043	1.06068	1.06028	1.06044	742	0	0
2023.01.05	07:15:00	1.06044	1.06059	1.06017	1.06039	585	0	0
2023.01.05	07:30:00	1.06036	1.06080	1.06021	1.06064	613	0	0
2023.01.05	07:45:00	1.06064	1.06106	1.06054	1.06106	513	0	0
2023.01.05	08:00:00	1.06107	1.06200	1.06087	1.06195	679	0	0
2023.01.05	08:15:00	1.06195	1.06200	1.06107	1.06146	661	0	0
2023.01.05	08:30:00	1.06145	1.06161	1.06122	1.06138	552	0	0
2023.01.05	08:45:00	1.06136	1.06137	1.06028	1.06034	875	0	0
2023.01.05	09:00:00	1.06027	1.06095	1.06017	1.06071	1302	0	0
2023.01.05	09:15:00	1.06070	1.06100	1.06039	1.06081	1165	0	0
2023.01.05	09:30:00	1.06079	1.06123	1.06000	1.06006	1254	0	0
2023.01.05	09:45:00	1.06006	1.06064	1.05902	1.06055	1923	0	0
2023.01.05	10:00:00	1.06055	1.06189	1.06051	1.06104	2519	0	0
2023.01.05	10:15:00	1.06104	1.06279	1.06099	1.06196	2096	0	0
2023.01.05	10:30:00	1.06196	1.06259	1.06147	1.06178	2170	0	0
2023.01.05	10:45:00	1.06179	1.06250	1.06151	1.06202	1732	0	0
2023.01.05	11:00:00	1.06200	1.06208	1.06096	1.06131	1391	0	0
2023.01.05	11:15:00	1.06130	1.06199	1.06122	1.06184	1391	0	0
2023.01.05	11:30:00	1.06184	1.06291	1.06184	1.06254	1469	0	0
2023.01.05	11:45:00	1.06255	1.06289	1.06179	1.06235	1396	0	0
2023.01.05	12:00:00	1.06238	1.06260	1.06162	1.06197	1434	0	0
2023.01.05	12:15:00	1.06196	1.06214	1.06166	1.06178	1136	0	0
2023.01.05	12:30:00	1.06178	1.06201	1.06100	1.06164	1314	0	0
2023.01.05	12:45:00	1.06164	1.06188	1.06131	1.06187	1093	0	0
2023.01.05	13:00:00	1.06188	1.06221	1.06159	1.06162	1274	0	0
2023.01.05	13:15:00	1.06161	1.06173	1.06055	1.06055	1040	0	0
2023.01.05	13:30:00	1.06055	1.06125	1.06031	1.06089	1099	0	0
2023.01.05	13:45:00	1.06089	1.06143	1.06071	1.06111	988	0	0
2023.01.05	14:00:00	1.06111	1.06124	1.06049	1.06088	1127	0	0
2023.01.05	14:15:00	1.06086	1.06165	1.06073	1.06122	1215	0	0
2023.01.05	14:30:00	1.06122	1.06175	1.06103	1.06125	1191	0	0
2023.01.05	14:45:00	1.06125	1.06135	1.05982	1.05995	1470	0	0
2023.01.05	15:00:00	1.05995	1.06083	1.05983	1.06010	2018	0	0
2023.01.05	15:15:00	1.06008	1.06031	1.05781	1.05800	3973	0	0
2023.01.05	15:30:00	1.05800	1.05801	1.05621	1.05703	3637	0	0
2023.01.05	15:45:00	1.05706	1.05750	1.05514	1.05524	2865	0	0
2023.01.05	16:00:00	1.05524	1.05606	1.05471	1.05597	2796	0	0
2023.01.05	16:15:00	1.05595	1.05621	1.05487	1.05502	2570	0	0
2023.01.05	16:30:00	1.05505	1.05552	1.05443	1.05493	3345	0	0
2023.01.05	16:45:00	1.05493	1.05533	1.05358	1.05393	3045	0	0
2023.01.05	17:00:00	1.05393	1.05675	1.05269	1.05428	4137	0	0
2023.01.05	17:15:00	1.05429	1.05443	1.05240	1.05287	3298	0	0
2023.01.05	17:30:00	1.05287	1.05331	1.05172	1.05273	2823	0	0
2023.01.05	17:45:00	1.05273	1.05289	1.05150	1.05185	2773	0	0
2023.01.05	18:00:00	1.05185	1.05284	1.05173	1.05235	2448	0	0
2023.01.05	18:15:00	1.05233	1.05319	1.05207	1.05314	2127	0	0
2023.01.05	18:30:00	1.05313	1.05320	1.05178	1.05200	2151	0	0
2023.01.05	18:45:00	1.05199	1.05237	1.05186	1.05211	1587	0	0
2023.01.05	19:00:00	1.05211	1.05270	1.05187	1.05228	1479	0	0
2023.01.05	19:15:00	1.05228	1.05320	1.05188	1.05272	1794	0	0
2023.01.05	19:30:00	1.05272	1.05310	1.05206	1.05304	1089	0	0
2023.01.05	19:45:00	1.05303	1.05333	1.05255	1.05299	1340	0	0
2023.01.05	20:00:00	1.05299	1.05333	1.05292	1.05321	1127	0	0
2023.01.05	20:15:00	1.05322	1.05433	1.05299	1.05372	2295	0	0
2023.01.05	20:30:00	1.05373	1.05432	1.05357	1.05374	1725	0	0
2023.01.05	20:45:00	1.05374	1.05397	1.05342	1.05360	1221	0	0
2023.01.05	21:00:00	1.05362	1.05387	1.05317	1.05338	1229	0	0
2023.01.05	21:15:00	1.05339	1.05386	1.05310	1.05318	1104	0	0
2023.01.05	21:30:00	1.05317	1.05353	1.05297	1.05337	1315	0	0
2023.01.05	21:45:00	1.05333	1.05356	1.05290	1.05302	1220	0	0
2023.01.05	22:00:00	1.05301	1.05307	1.05239	1.05256	1375	0	0
2023.01.05	22:15:00	1.05257	1.05269	1.05231	1.05242	1114	0	0
2023.01.05	22:30:00	1.05242	1.05259	1.05211	1.05221	1137	0	0
